1998-04-02,GRT,21.94,22.12,21.94,22.25,120500,1998
1998-01-21,GES,6.44,6.5,6.31,6.5,5200,1998
1998-08-12,GCH,4.63,4.37,4.37,4.69,65200,1998
1998-03-09,GTI,34.63,34.63,34.5,35.12,103000,1998
1998-09-30,GCV,9.1,8.78,8.78,9.15,44900,1998
1998-07-08,GCI,70.91,70.48,70.12,70.97,575700,1998
1998-07-07,GCV,9.13,9.29,9.13,9.34,29500,1998
1998-06-10,GLW,36.69,36.81,36.38,37.25,3725100,1998
1998-07-02,GF,12.87,12.69,12.65,12.87,29000,1998
1998-05-11,GLT,16.38,16.44,16.21,16.44,14800,1998
1998-03-20,GDI,29.12,28.38,28.38,29.16,42800,1998
1998-03-06,GAM,27.56,27.5,27.31,27.69,12300,1998
1998-06-15,GGT,7.18,7.13,7.08,7.18,15000,1998
1998-08-11,GY,10.95,10.63,10.57,10.95,65100,1998
1998-09-25,GR,30.3,31.43,30.3,31.9,384600,1998
1998-12-24,GEO,27.69,27.38,27.38,27.81,41600,1998
1998-10-08,GR,28.77,27.94,27.7,28.82,230600,1998
1998-12-07,GFI,4.63,4.63,4.63,4.75,19200,1998
1998-07-24,GAP,30.97,30.79,30.48,31.22,28500,1998
1998-01-08,GWW,95.98,95.43,94.82,95.98,165000,1998
1998-06-23,GLT,14.27,14.21,14.21,14.38,64200,1998
1998-11-24,GIB,17.19,17.44,17.19,18.87,104600,1998
1998-02-13,GCV,8.54,8.34,8.34,8.54,25900,1998
1998-02-26,GAP,29.74,30.35,29.26,30.35,84000,1998
1998-04-02,GGT,7.82,7.82,7.68,7.87,20000,1998
1998-12-09,GBX,14.38,14.38,14.38,14.5,3600,1998
1998-06-18,GLW,34.06,34.88,34.06,35.25,1572600,1998
1998-06-03,GFF,13.94,13.81,13.75,13.94,30600,1998
1998-05-01,GG,5.63,5.63,5.63,5.63,0,1998
1998-08-12,GMT,33.08,34.21,32.96,34.5,224500,1998
1998-06-10,GGG,33.63,32.19,32,33.63,113700,1998
1998-09-08,GR,28.59,29.53,28.59,29.59,538000,1998
1998-02-04,GPI,9.25,9,8.87,9.25,28200,1998
1998-07-15,GVA,34.44,34.88,33.94,34.88,197100,1998
1998-02-03,GTY,23.75,23.69,23.62,23.81,1900,1998
1998-01-21,GET,29.07,28.65,28.65,29.13,66800,1998
1998-02-13,GES,5.25,5.38,5.25,5.38,56400,1998
1998-10-01,GFI,5.44,5.63,5.44,5.63,73000,1998
1998-06-29,GAI,14.38,14.38,14.38,14.62,7900,1998
1998-07-10,GPX,13.44,13.44,13.25,13.44,91800,1998
1998-03-23,GET,35.06,34.94,34.94,35.12,7500,1998
1998-05-15,GLF,33.25,33.25,32.94,33.25,600,1998
1998-01-12,GGC,27.09,27.39,26.85,27.51,2000,1998
1998-01-23,GTY,22.12,22.44,22.12,22.75,21600,1998
1998-04-28,GEF,37.72,37.3,37.23,37.72,14000,1998
1998-09-17,GCI,55.98,55.37,55,56.1,887600,1998
1998-04-22,GF,12.39,12.48,12.39,12.52,84000,1998
1998-06-30,GWW,49.29,48.62,48.5,49.9,172500,1998
1998-06-01,GE,83.37,82.87,82.06,83.94,1.07E+07,1998
1998-12-14,GNI,51.13,51.02,50.37,51.13,3800,1998
1998-03-31,GCO,17.25,18.25,17.19,18.5,243300,1998
